구,기준년월,택시요금
수정구,202008,15100
수정구,202009,46200
수정구,202102,29700
수정구,202103,146600
수정구,202104,101100
수정구,202105,147200
수정구,202106,146600
수정구,202107,83500
수정구,202110,46900
수정구,202111,105900
수정구,202112,65700
수정구,202202,97100
수정구,202203,52300
수정구,202204,64400
수정구,202206,71400
수지구,202005,38500
양주시,201802,115000
양주시,201909,162000
양주시,201912,153300
양주시,202001,85100
양주시,202002,35700
양주시,202003,35700
양주시,202008,35700
양주시,202009,293000
양주시,202012,17300
양주시,202101,42400
양주시,202102,99600
양주시,202103,187500
양주시,202104,65300
양주시,202106,65300
양주시,202109,196500
양주시,202111,223400
양주시,202112,173000
양주시,202201,173000
양주시,202202,173000
양주시,202204,129800
양주시,202205,129800
양주시,202206,115000
양천구,201801,9065500
양천구,201802,10154300
양천구,201803,9454400
양천구,201804,8165100
양천구,201805,8496800
양천구,201806,8273900
양천구,201807,11592200
양천구,201808,9010700
양천구,201809,7380400
양천구,201810,10137400
양천구,201811,9012600
양천구,201812,9708900
양천구,201901,10313400
양천구,201902,9233300
양천구,201903,10173500
양천구,201904,10461300
양천구,201905,10615500
양천구,201906,10891800
양천구,201907,10670600
양천구,201908,8864800
양천구,201909,9046400
양천구,201910,9197500
양천구,201911,9217500
양천구,201912,8730500
양천구,202001,8678200
양천구,202002,6917400
양천구,202003,5809100
양천구,202004,6454800
양천구,202005,7630400
양천구,202006,7679800
양천구,202007,8057100
양천구,202008,8094900
양천구,202009,8668500
양천구,202010,8466700
양천구,202011,8232900
양천구,202012,7794000
양천구,202101,7906800
양천구,202102,7472300
양천구,202103,7340100
양천구,202104,7741800
양천구,202105,8704700
양천구,202106,9874500
양천구,202107,9486300
양천구,202108,8427700
양천구,202109,8589500
양천구,202110,9002300
양천구,202111,7645800
양천구,202112,7610200
양천구,202201,9319400
양천구,202202,7700000
양천구,202203,7768300
양천구,202204,8296600
양천구,202205,8801900
양천구,202206,7529800
영등포구,201801,4544800
영등포구,201802,5321300
영등포구,201803,6226000
영등포구,201804,5575700
영등포구,201805,7231000
영등포구,201806,7063600
영등포구,201807,6786600
영등포구,201808,6560200
영등포구,201809,6364300
영등포구,201810,5431400
영등포구,201811,5956200
영등포구,201812,7043400
영등포구,201901,6008900
영등포구,201902,5964500
영등포구,201903,6069800
영등포구,201904,5919900
영등포구,201905,5648500
영등포구,201906,6479200
영등포구,201907,6204500
영등포구,201908,6886600
영등포구,201909,6333200
영등포구,201910,5905200
영등포구,201911,5948500
영등포구,201912,6949800
영등포구,202001,5259500
영등포구,202002,6194100
영등포구,202003,7270500
영등포구,202004,7240900
영등포구,202005,7481900
영등포구,202006,6971600
영등포구,202007,8637500
영등포구,202008,7357900
영등포구,202009,7577500
영등포구,202010,8260900
영등포구,202011,6297200
영등포구,202012,5394000
영등포구,202101,6314700
영등포구,202102,5525600
영등포구,202103,7073700
영등포구,202104,5843600
영등포구,202105,6613900
영등포구,202106,6355500
영등포구,202107,5695200
영등포구,202108,5696100
