,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
1058,홍은제1동,공항동,126.9471111,37.5989056,126.8101437,37.5588296,홍은제1동공항동,19758,2719.311,19100
1059,진관동,정릉제4동,126.9210512,37.634983,127.0069798,37.6133387,진관동정릉제4동,14491,2376.585,15900
1060,응암제2동,송내1동,126.9230926,37.5946071,126.7789446,37.4824389,응암제2동송내1동,27275,4390.529,31070
1061,고척제2동,소사본2동,126.8587122,37.5067055,126.79993,37.4800723,고척제2동소사본2동,6704,1106.97,7970
1062,번제1동,호원2동,127.0288473,37.6378913,127.0430544,37.7263805,번제1동호원2동,12961,2212.654,15730
1063,논현2동,목3동,127.037213,37.517342,126.8644431,37.5448009,논현2동목3동,22315,2277.842,20400
1064,도봉제2동,도촌동,127.046575,37.669751,127.1528116,37.4163195,도봉제2동도촌동,40930,5129.533,37850
1065,면목제3.8동,양평제1동,,,126.888238,37.52365,면목제3.8동양평제1동,0,0.0,0
1066,오류제2동,신정2동,126.8395371,37.4888016,126.870679,37.5192314,오류제2동신정2동,7208,1560.261,10300
1067,성북동,영등포동,127.0032875,37.5911237,126.9106918,37.5203985,성북동영등포동,13365,2740.267,15600
1068,천호제2동,부림동,127.1254351,37.5435257,126.9986011,37.4335392,천호제2동부림동,21135,3923.27,24490
1069,신당제2동,월계2동,,,127.0508,37.6325377,신당제2동월계2동,0,0.0,0
1070,명일제1동,남현동,127.1443656,37.5512453,126.9778366,37.4745394,명일제1동남현동,25273,4079.877,23900
1071,세곡동,상계5동,127.1043555,37.4643683,127.069498,37.6627392,세곡동상계5동,37073,2935.972,36130
1072,신사제1동,잠실6동,126.9117735,37.5978445,127.10065,37.518142,신사제1동잠실6동,29889,4587.665,29100
1073,중계2.3동,장안제2동,127.0687126,37.6421829,127.0706,37.578483,중계2.3동장안제2동,8892,2054.081,11900
1074,성산제2동,일원1동,126.9090061,37.568618,127.0879629,37.491839,성산제2동일원1동,29034,3916.261,26300
1075,중곡제2동,성내제2동,127.081487,37.560308,127.129563,37.532425,중곡제2동성내제2동,6676,1428.55,8000
1076,신사제1동,삼평동,126.9117735,37.5978445,127.1163916,37.4060784,신사제1동삼평동,42920,5475.732,39610
1077,신월1동,우장산동,126.831487,37.532808,126.8418849,37.5482468,신월1동우장산동,3355,675.112,5200
1078,답십리제1동,교문1동,127.0512678,37.5717963,127.127737,37.601215,답십리제1동교문1동,9983,1788.492,11530
1079,신설동,가양제2동,127.0255251,37.5749343,126.8512826,37.5673763,신설동가양제2동,27038,3235.797,22800
1080,사직동,상계8동,126.9688397,37.576196,127.0515874,37.6667854,사직동상계8동,24235,2558.791,21900
1081,수서동,장안제3동,127.104929,37.4889181,,,수서동장안제3동,0,0.0,0
1082,독산제1동,회현동,126.897041,37.4702453,126.9793216,37.5572864,독산제1동회현동,13712,3111.73,17800
1083,왕십리도선동,상봉제1동,127.0255501,37.5678257,127.0872004,37.5998799,왕십리도선동상봉제1동,7410,1339.482,8800
1084,은천동,청림동,126.9424278,37.4853086,126.9585773,37.4918329,은천동청림동,2277,530.67,4200
1085,사당제1동,정릉제4동,126.9786682,37.4830639,127.0069798,37.6133387,사당제1동정릉제4동,25589,2721.958,22700
1086,내곡동,상계1동,127.0583103,37.4493583,127.0549781,37.6799006,내곡동상계1동,36148,3841.088,33200
1087,면목제3.8동,도곡1동,,,127.0390246,37.488238,면목제3.8동도곡1동,0,0.0,0
1088,홍제제1동,반포4동,126.9448779,37.5876988,127.0003853,37.4974314,홍제제1동반포4동,12836,2822.857,15000
1089,오금동,감북동,126.9138,37.6674,127.161688,37.516208,오금동감북동,51039,4885.015,51930
1090,암사제2동,방배4동,127.1272074,37.5517481,126.9923344,37.489007,암사제2동방배4동,20619,2997.866,19000
1091,신길제3동,성수2가제3동,126.9077425,37.5073003,127.0552645,37.5482223,신길제3동성수2가제3동,18537,3058.792,18000
1092,등촌제1동,북가좌제2동,126.8589287,37.5558155,126.9112,37.5815,등촌제1동북가좌제2동,8032,1215.463,9750
1093,공릉2동,양재1동,127.083488,37.621332,127.026744,37.4716412,공릉2동양재1동,30829,5629.634,33500
1094,둔촌제2동,서초4동,127.1419221,37.5332885,127.0221589,37.5026685,둔촌제2동서초4동,17894,3312.019,18900
1095,신정4동,신당제1동,126.8558042,37.5245455,,,신정4동신당제1동,0,0.0,0
1096,우장산동,신월1동,126.8418849,37.5482468,126.831487,37.532808,우장산동신월1동,3515,700.197,5100
1097,구의제2동,천호제1동,127.0899111,37.5472481,127.1368066,37.5450159,구의제2동천호제1동,5682,1036.177,7500
1098,묵제1동,이태원제2동,127.0784729,37.6123734,126.9901481,37.5418962,묵제1동이태원제2동,17905,3445.282,19800
1099,연희동,논현1동,126.9351754,37.5739083,127.028461,37.5115706,연희동논현1동,18435,3592.609,19000
1100,오금동,청파동,126.9138,37.6674,126.9674,37.5488,오금동청파동,17204,4189.327,26010
1101,면목제7동,흑석동,127.0869854,37.5789945,126.966612,37.5058617,면목제7동흑석동,19169,3698.893,21400
1102,중곡제4동,김포2동,127.0894538,37.5590865,,,중곡제4동김포2동,0,0.0,0
1103,진관동,상일동,126.9210512,37.634983,127.1683007,37.550583,진관동상일동,45699,3852.842,46610
1104,홍제제1동,공항동,126.9448779,37.5876988,126.8101437,37.5588296,홍제제1동공항동,20964,2864.77,21300
1105,서초2동,일원1동,127.02496,37.49208,127.0879629,37.491839,서초2동일원1동,10274,1476.405,11700
1106,묵제1동,신촌동,127.0784729,37.6123734,126.9418114,37.5640923,묵제1동신촌동,20555,3675.12,20800
